epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3398.13,0.66404,0.44791,0.94033,0.9759,1,0.98977,0.83615,0.58507,0.4556,0.84001,0.0011486,0.0011486,0.0011486
45,3467.1,0.64675,0.43399,0.94889,0.97537,0.97674,0.97446,0.84163,0.63543,0.50401,0.85841,0.0011288,0.0011288,0.0011288
46,3525.71,0.63816,0.42101,0.93084,0.9756,0.97674,0.98993,0.85167,0.57954,0.44575,0.83544,0.001109,0.001109,0.001109
47,3583.66,0.62117,0.40847,0.92777,0.97596,1,0.98818,0.86757,0.59814,0.44264,0.83973,0.0010892,0.0010892,0.0010892
48,3641.87,0.60473,0.4128,0.91923,0.97545,1,0.98932,0.86751,0.60042,0.46074,0.84061,0.0010694,0.0010694,0.0010694
49,3697.32,0.6181,0.40663,0.93293,0.97486,0.97674,0.97763,0.85688,0.59971,0.39706,0.84752,0.0010496,0.0010496,0.0010496
50,3759.57,0.59782,0.38969,0.9195,0.97528,1,0.98773,0.86658,0.62318,0.46252,0.85026,0.0010298,0.0010298,0.0010298
51,3821.43,0.57552,0.39163,0.9056,0.97521,1,0.99045,0.87018,0.59044,0.44819,0.84029,0.00101,0.00101,0.00101
52,3873.14,0.62869,0.39396,0.92321,0.97584,1,0.98659,0.8496,0.62519,0.48264,0.8516,0.0009902,0.0009902,0.0009902
53,3924.88,0.60625,0.39228,0.91792,0.97635,1,0.98341,0.86281,0.59292,0.43773,0.83954,0.0009704,0.0009704,0.0009704
54,3980.48,0.64192,0.4075,0.92334,0.97483,1,0.99364,0.85535,0.62093,0.36371,0.84671,0.0009506,0.0009506,0.0009506
55,4041.82,0.61782,0.39757,0.92644,0.97572,1,0.99409,0.86275,0.62748,0.37908,0.85338,0.0009308,0.0009308,0.0009308
56,4103.24,0.60037,0.37951,0.92707,0.97571,1,0.99455,0.86871,0.55884,0.3704,0.83355,0.000911,0.000911,0.000911
